Time,Weight,Humidity,Flow,Temperature
2017-01-02 04:00:00,52.64466666666666,93.17666666666665,0.0,0.49370181159420296
2017-01-02 05:00:00,52.64813333333332,92.76666666666664,-1.0,0.6967670289855074
2017-01-02 06:00:00,52.63800000000007,92.58166666666666,0.0,0.7254391304347827
2017-01-02 07:00:00,52.65026666666664,92.57833333333336,0.0,1.003393115942029
2017-01-02 08:00:00,52.64760000000002,92.38,0.0,1.3476637681159418
2017-01-02 09:00:00,52.644933333333384,92.905,0.0,1.6003702898550722
2017-01-02 10:00:00,52.65613333333332,93.25833333333335,0.0,1.7793764492753623
2017-01-02 11:00:00,52.67133333333331,93.28166666666664,-2.0,2.0526326086956512
2017-01-02 12:00:00,52.683333333333366,93.4866666666667,-1.0,2.52173224637681
2017-01-02 13:00:00,52.68733333333333,93.29833333333336,-2.0,2.7410528985507243
2017-01-02 14:00:00,52.68066666666666,93.18333333333337,0.0,3.04958695652174
2017-01-02 15:00:00,52.6902666666667,92.8216666666667,-1.0,2.900001086956521
2017-01-02 16:00:00,52.69613333333336,92.46166666666664,0.0,2.764467753623188
2017-01-02 17:00:00,52.695333333333366,92.605,0.0,2.977788405797102
2017-01-02 18:00:00,52.69320000000002,93.14999999999996,-1.0,3.0104579710144934
2017-01-02 19:00:00,52.687066666666695,92.54333333333332,-1.0,2.922839492753624
2017-01-02 20:00:00,52.69400000000003,92.30333333333338,0.0,2.9127076086956523
2017-01-02 21:00:00,52.69640000000004,92.12999999999997,0.0,2.769034057971014
2017-01-02 22:00:00,52.72040000000002,92.2233333333333,0.0,2.5736119565217392
2017-01-02 23:00:00,52.7006666666667,92.28666666666668,0.0,2.335997826086956
2017-01-03 00:00:00,52.68200000000001,92.42166666666664,0.0,2.4857666666666667
2017-01-03 01:00:00,52.69637333333336,92.07,0.0,2.5298413043478263
2017-01-03 02:00:00,52.69800000000003,92.4200000000001,0.0,2.2833989130434778
2017-01-03 03:00:00,52.693415,92.45166666666674,0.0,2.17773731884058
2017-01-03 04:00:00,52.65639333333336,92.015,0.0,2.439365217391304
2017-01-03 05:00:00,52.64137500000002,92.13166666666666,0.0,2.7924612318840585
2017-01-03 06:00:00,52.66407833333332,91.9266666666667,0.0,3.0346778985507243
2017-01-03 07:00:00,52.67319999999998,92.27333333333334,-1.0,3.099854347826088
2017-01-03 08:00:00,52.6721333333333,92.44666666666672,0.0,2.9991438405797086
2017-01-03 09:00:00,52.635333333333385,92.71666666666664,0.0,3.0633239130434764
2017-01-03 10:00:00,52.63773333333339,92.39166666666664,0.0,3.227977898550724
2017-01-03 11:00:00,52.61693333333335,91.80166666666665,-2.0,3.4582735507246376
2017-01-03 12:00:00,52.64866666666667,91.57666666666668,-2.0,3.8684793478260864
2017-01-03 13:00:00,52.64253333333336,91.7483333333333,0.0,3.8376340579710138
2017-01-03 14:00:00,52.62813333333335,91.55833333333334,0.0,3.8991014492753617
2017-01-03 15:00:00,52.6588,91.41833333333334,0.0,3.704894565217392
2017-01-03 16:00:00,52.67106666666666,91.425,-1.0,3.4894753623188386
2017-01-03 17:00:00,52.64973166666668,90.79,0.0,3.267471376811593
2017-01-03 18:00:00,52.64546666666671,88.97666666666667,-1.0,3.1259119565217386
2017-01-03 19:00:00,52.6235966666667,88.38500000000002,0.0,3.0898014492753623
2017-01-03 20:00:00,52.63373000000003,88.30333333333334,0.0,3.246281521739129
2017-01-03 21:00:00,52.63132500000005,87.87166666666668,0.0,3.0967543478260864
2017-01-03 22:00:00,52.66013166666666,89.29499999999999,0.0,2.887755072463768
2017-01-03 23:00:00,52.63026500000003,89.74833333333332,0.0,2.87597536231884
